标题,描述,时长,播放量,累计弹幕数量,发布时间,点赞,投币,收藏,转载
【何同学】一只鸽子的自白,"
                    感谢@贰_33为本期视频加了音效
开头是对马男波杰克S04E06的拙劣模仿
                  ",7:51,"763.8万
                    ","10.2万
                    ","2020-3-31
                    ","109.5万
    ","
      98.0万
    ","22.5万
    ","4.3万
      "
【何同学】二十万元的电脑是什么样子的？苹果Mac Pro深度体验,"
                    引用视频：https://www.youtube.com/watch?v=RA2ZWv71yzM
BGM： @Cambridge李劲锋 钢琴版【友情岁月 · 马小浩处刑曲】
请大家务必不要到相关BGM里评论我的名字
                  ",8:12,"1073.2万
                    ","6.3万
                    ","2020-2-29
                    ","95.7万
    ","
      74.8万
    ","19.0万
    ","9.9万
      "
【何同学】给三年前自己的一封信,"
                    结尾致敬星运里的错 是那时我很喜欢的一部电影了。
请大家务必不要到相关音乐里评论我的名字！
                  ",34:42:00,"550.2万
                    ","7.3万
                    ","2019-12-31
                    ","59.8万
    ","
      61.6万
    ","16.6万
    ","5.7万
      "
【何同学】脆弱的美好 折叠屏手机深度体验,"
                    感谢大佬借给我的Mate X，感谢头条的朋友借给我的Fold，这应该是我做过的最贵的一期视频了，希望大家喜欢。
                  ",7:47,"794.1万
                    ","3.1万
                    ","2019-12-13
                    ","77.4万
    ","
      63.4万
    ","15.0万
    ","4.5万
      "
【何同学】我就扫个码 更好的手机相机有什么意义？ 苹果iPhone 11系列深度体验,"
                    没时间解释了！快开车！
                  ",8:36,"992.3万
                    ","5.2万
                    ","2019-11-1
                    ","83.0万
    ","
      79.7万
    ","20.8万
    ","6.3万
      "
【何同学】挺稳的 华为Mate 30 Pro深度体验,"
                    
                  ",9:11,"781.1万
                    ","6.4万
                    ","2019-9-29
                    ","53.2万
    ","
      43.9万
    ","11.0万
    ","9.3万
      "
【何同学】一看就懂！用水讲明白为什么5G更快,"
                    来不及解释了 快上车！
                  ",7:24,"690.3万
                    ","4.3万
                    ","2019-9-1
                    ","82.9万
    ","
      82.4万
    ","22.7万
    ","5.7万
      "
【何同学】涨粉百万后，我的生活有什么变化？,"
                    BGM：Favorite Song —— Chance the rapper
          Stronger —— Kanye West
         Congratulation——Post Malone
                  ",9:12,"1097.3万
                    ","6万
                    ","2019-7-20
                    ","72.1万
    ","
      52.3万
    ","14.2万
    ","3.4万
      "
【何同学】有多快？5G在日常使用中的真实体验,"
                    BGM：La Ciudad——ODESZA
          Rap God—— Eminem
          Stronger —— Kanye West
          感谢龚哥从上海帮我办了两次电话卡，感谢我班团支书辅导我数电实验
                  ",7:34,"2906.1万
                    ","22.3万
                    ","2019-6-6
                    ","240.4万
    ","
      251.1万
    ","93.7万
    ","55.8万
      "
【何同学】哪款适合你？iPad mini 5和iPad Air 3深度体验,"
                    BGM：Distractions —— Groenland
         Stronger——Kanye West
         感谢同学们愿意借给我iPad拍 再一次祝我妈母亲节快乐
                  ",6:42,"551万
                    ","1.2万
                    ","2019-5-14
                    ","23.5万
    ","
      17.8万
    ","5.6万
    ","4.2万
      "
